IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2),weight buffer carbon (g),io buffer carbon (g),systolic array carbon (g),total carbon (g)
WriteLatency,Area,HZO3,2.083,0.807463197,1.23904,11.788438,27.678904,16.464364,55.931705
WriteLatency,Area,HZO5,2.083,0.807463197,1.23904,11.915249,27.678904,16.464364,56.058517
WriteLatency,Area,SRAM-Best,2.083,3.874,1.23904,51.477712,27.678904,16.464364,95.62098
WriteLatency,ReadDynamicEnergy,HZO3,2.083,0.80947804,1.23904,11.815214,27.678904,16.464364,55.958481
WriteLatency,ReadDynamicEnergy,HZO5,2.083,0.80947804,1.23904,11.942026,27.678904,16.464364,56.085293
WriteLatency,ReadDynamicEnergy,SRAM-Best,2.083,4.098,1.23904,54.454224,27.678904,16.464364,98.597492
WriteLatency,ReadEDP,HZO3,2.083,0.982724629,1.23904,14.117309,27.678904,16.464364,58.260577
WriteLatency,ReadEDP,HZO5,2.083,0.982724629,1.23904,14.244121,27.678904,16.464364,58.387388
WriteLatency,ReadEDP,SRAM-Best,2.083,4.324,1.23904,57.457312,27.678904,16.464364,101.60058
WriteLatency,ReadLatency,HZO3,2.083,1.146,1.23904,16.287292,27.678904,16.464364,60.430559
WriteLatency,ReadLatency,HZO5,2.083,1.146,1.23904,16.414148,27.678904,16.464364,60.557416
WriteLatency,ReadLatency,SRAM-Best,2.083,4.112,1.23904,54.640256,27.678904,16.464364,98.783524
WriteLatency,WriteDynamicEnergy,HZO3,2.083,2.187,1.23904,30.119814,27.678904,16.464364,74.263081
WriteLatency,WriteDynamicEnergy,HZO5,2.083,2.187,1.23904,30.246636,27.678904,16.464364,74.389904
WriteLatency,WriteDynamicEnergy,SRAM-Best,2.083,4.229,1.23904,56.194952,27.678904,16.464364,100.33822
WriteLatency,WriteEDP,HZO3,2.083,1.348,1.23904,18.971183,27.678904,16.464364,63.114451
WriteLatency,WriteEDP,HZO5,2.083,1.348,1.23904,19.098006,27.678904,16.464364,63.241274
WriteLatency,WriteEDP,SRAM-Best,2.083,4.456,1.23904,59.211328,27.678904,16.464364,103.354596
WriteLatency,WriteLatency,HZO3,2.083,1.523,1.23904,21.296743,27.678904,16.464364,65.44001
WriteLatency,WriteLatency,HZO5,2.083,1.523,1.23904,21.423584,27.678904,16.464364,65.566852
WriteLatency,WriteLatency,SRAM-Best,2.083,4.112,1.23904,54.640256,27.678904,16.464364,98.783524
