M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
3324,827,1,r1,bf16,148.8100,6.3939,6.4016,142.4084,25941,ok
12,873,174,r4,bf16,140.2800,1.2322,1.2382,139.0418,5515,ok
2343,5736,272,r7,bf16,166.6000,24.8015,24.8066,141.7935,367874,ok
5524,2,3475,r5,bf16,153.4500,9.5795,9.5852,143.8648,165367,ok
49,3444,658,r6,bf16,148.2600,2.4639,2.4695,145.7905,69821,ok
16,1760,4,r0,bf16,141.4500,1.2414,1.2466,140.2034,5571,ok
149,1,9,r0,bf16,143.7600,1.6098,1.6181,142.1419,530,ok
719,3218,1016,r6,bf16,149.6400,10.2183,10.2237,139.4163,229007,ok
2738,2271,1196,r7,bf16,162.5600,25.4986,25.5036,137.0563,561599,ok
63,3145,100,r2,bf16,145.3100,1.6119,1.6177,143.6923,11124,ok
6113,4320,517,r7,bf16,202.9200,66.3248,66.3305,136.5895,1104149,ok
1,503,13,r0,bf16,145.6800,1.6435,1.6529,144.0271,1531,ok
3897,5307,700,r7,bf16,195.2300,57.7092,57.7156,137.5144,1078307,ok
4513,5419,5473,r7,bf16,554.5600,407.2409,407.2466,147.3134,9050854,ok
4308,11,24,r1,bf16,142.9200,1.2716,1.2770,141.6430,4689,ok
11,2696,2953,r6,bf16,149.5400,6.1262,6.1313,143.4087,207503,ok
2005,5282,50,r3,bf16,152.5100,17.5474,17.5521,134.9579,100253,ok
