M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
3097,121,7,r1,bf16,111.3490,2.4123,19.4584,91.8906,3478,ok
4749,387,4,r1,bf16,115.4400,5.8127,17.6759,97.7641,20523,ok
2960,116,2,r1,bf16,112.3000,2.1936,17.1993,95.1008,3341,ok
4320,18,18,r1,bf16,112.7700,1.4857,18.0607,94.7093,4701,ok
2259,156,6,r1,bf16,115.2200,2.3475,15.2825,99.9375,5281,ok
3328,23,10,r1,bf16,112.4400,1.4147,16.1568,96.2832,3709,ok
4308,11,24,r1,bf16,110.6000,1.3093,16.0796,94.5204,4689,ok
2060,10,37,r1,bf16,108.8510,1.2257,17.4193,91.4317,2441,ok
2042,109,1,r1,bf16,108.0600,2.7892,17.5871,90.4728,2423,ok
3324,827,1,r1,bf16,115.6101,9.4255,26.3618,89.2483,25941,ok
3544,2,67,r1,bf16,110.5999,1.1604,15.1441,95.4558,3925,ok
4266,273,26,r1,bf16,111.7500,4.7971,49.7661,61.9839,13943,ok
1935,1,20,r1,bf16,112.1800,2.2757,14.7198,97.4602,2316,ok
6142,736,30,r1,bf16,120.9300,11.1752,27.2587,93.6713,39143,ok
4474,6,38,r1,bf16,110.1401,1.2115,17.2143,92.9258,4855,ok
2685,2,9,r1,bf16,109.4399,1.0847,21.5959,87.8441,3066,ok
2820,4,8,r1,bf16,108.0399,1.0994,15.8663,92.1737,3201,ok
5452,27,9,r1,bf16,108.7099,1.7132,11.9944,96.7155,5833,ok
4380,53,2,r1,bf16,109.1099,1.8979,15.7446,93.3653,4761,ok
5536,29,46,r1,bf16,110.5401,1.6209,16.2237,94.3163,5917,ok
3019,446,7,r1,bf16,111.5910,4.5773,18.8841,92.7069,13603,ok
2481,4,96,r1,bf16,108.3401,1.1378,19.3554,88.9847,2862,ok
3799,1,7,r1,bf16,110.9199,2.3496,16.8420,94.0780,4180,ok
2522,2,2,r1,bf16,113.3400,1.2107,16.2454,97.0946,2903,ok
2053,124,2,r1,bf16,108.3700,2.1145,16.5284,91.8416,2434,ok
3908,103,31,r1,bf16,109.5510,2.3499,16.5801,92.9709,4289,ok
3484,9,71,r1,bf16,111.7709,1.3202,13.5089,98.2620,3865,ok
2896,32,21,r1,bf16,109.6000,1.4883,15.8323,93.7677,3277,ok
3501,1382,103,r1,bf16,145.0300,13.4983,29.9282,115.1017,42712,ok
5662,1166,17,r1,bf16,124.7891,15.7643,27.7511,97.0380,60439,ok
3397,205,3,r1,bf16,111.4300,3.3021,24.2098,87.2201,7557,ok
2617,1,2,r1,bf16,113.3700,3.2639,19.0848,94.2852,2998,ok
1930,141,2,r1,bf16,111.6500,1.9817,16.0546,95.5953,4623,ok
4794,172,111,r1,bf16,111.4600,3.5698,17.2643,94.1957,10351,ok
3046,1060,9,r1,bf16,116.3890,8.4391,22.8937,93.4953,30851,ok
2851,2,72,r1,bf16,112.6700,1.1370,15.4636,97.2064,3232,ok
4840,11,9,r1,bf16,112.3000,1.4174,15.0589,97.2411,5221,ok
